TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Chargers,22.2,355,366,583,62.8,4431,7.6,12.1,28,11,220,18,undefined,94
Patriots,28.6,458,389,587,66.3,4418,7.5,11.4,32,8,232,35,undefined,101
Steelers,25.4,406,384,590,65.1,4380,7.4,11.4,29,15,217,24,undefined,93
Buccaneers,20.9,335,378,605,62.5,4366,7.2,11.6,26,14,243,40,undefined,89
Saints,28,448,386,536,72,4189,7.8,10.9,23,8,201,20,undefined,103
Lions,25.6,410,374,570,65.6,4183,7.3,11.2,29,11,210,47,undefined,96
Chiefs,25.9,415,363,543,66.9,4104,7.6,11.3,26,8,198,37,undefined,99
Falcons,22.1,353,343,530,64.7,3990,7.5,11.6,21,12,200,24,undefined,91
49ers,20.7,331,362,607,59.6,3925,6.5,10.8,15,15,206,43,undefined,77
Rams,29.9,478,320,518,61.8,3831,7.4,12,28,7,185,28,undefined,97
Vikings,23.9,382,357,527,67.7,3753,7.1,10.5,25,8,196,27,undefined,98
Redskins,21.4,342,347,540,64.3,3751,6.9,10.8,27,13,191,41,undefined,91
Eagles,28.6,457,341,564,60.5,3737,6.6,11,38,9,193,36,undefined,96
Seahawks,22.9,366,340,555,61.3,3657,6.6,10.8,34,12,183,43,undefined,92
Cardinals,18.4,295,339,598,56.7,3640,6.1,10.7,21,18,200,52,undefined,74
Raiders,18.8,301,347,558,62.2,3631,6.5,10.5,23,14,178,24,undefined,84
Jaguars,26.1,417,316,527,60,3593,6.8,11.4,21,13,193,24,undefined,83
Dolphins,17.6,281,373,602,62,3535,5.9,9.5,24,21,187,33,undefined,77
Giants,15.4,246,373,608,61.3,3479,5.7,9.3,20,14,178,34,undefined,78
Broncos,18.1,289,332,566,58.7,3331,5.9,10,19,22,180,53,undefined,70
Texans,21.1,338,299,525,57,3278,6.2,11,28,17,180,54,undefined,80
Browns,14.6,234,312,574,54.4,3228,5.6,10.3,15,28,157,50,undefined,59
Titans,20.9,334,306,496,61.7,3191,6.4,10.4,14,17,157,35,undefined,75
Jets,18.6,298,323,510,63.3,3182,6.2,9.9,19,12,157,47,undefined,83
Packers,20,320,352,562,62.6,3167,5.6,9,25,18,176,51,undefined,79
Cowboys,22.1,354,309,493,62.7,3141,6.4,10.2,22,13,162,32,undefined,85
Bengals,18.1,290,304,510,59.6,3122,6.1,10.3,25,12,165,40,undefined,84
Panthers,22.7,363,293,501,58.5,3077,6.1,10.5,22,16,167,35,undefined,78
Ravens,24.7,395,363,567,64,3030,5.3,8.3,20,13,168,27,undefined,80
Colts,16.4,263,285,487,58.5,2892,5.9,10.1,13,9,148,56,undefined,77
Bills,18.9,302,289,476,60.7,2825,5.9,9.8,16,10,149,47,undefined,80
Bears,16.5,264,291,473,61.5,2811,5.9,9.7,13,12,144,39,undefined,77
