TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
Chargers,20.1,322,285,488,58.4,2844,5.8,10,18,16,153,47,290,74
Raiders,23.2,371,249,470,53,3025,6.4,12.1,29,12,150,47,291,83
Bills,26.6,425,294,473,62.2,3072,6.5,10.4,28,11,179,27,181,91
Saints,19.2,307,306,494,61.9,3103,6.3,10.1,13,9,150,33,250,81
Packers,15,240,296,527,56.2,3107,5.9,10.5,16,24,163,47,333,65
Jets,19,304,269,531,50.7,3209,6,11.9,24,12,169,40,245,75
Buccaneers,19.9,318,307,521,58.9,3216,6.2,10.5,23,19,171,26,143,76
Dolphins,20.8,333,288,502,57.4,3348,6.7,11.6,22,11,166,39,225,83
Giants,21.7,347,308,539,57.1,3349,6.2,10.9,24,16,159,47,319,78
Vikings,21.8,348,333,529,62.9,3367,6.4,10.1,25,15,178,30,177,85
Panthers,25.5,408,326,526,62,3393,6.5,10.4,19,17,176,31,224,79
Steelers,14.5,232,363,593,61.2,3425,5.8,9.4,15,20,182,48,319,72
Colts,24.2,388,356,535,66.5,3433,6.4,9.6,22,10,190,30,194,90
Bengals,24.7,395,326,514,63.4,3469,6.7,10.6,21,16,170,27,179,84
Eagles,23.6,377,309,537,57.5,3469,6.5,11.2,31,23,185,39,292,78
Lions,23.1,369,330,518,63.7,3498,6.8,10.6,23,14,187,44,288,87
Chiefs,20.4,326,319,581,54.9,3519,6.1,11,23,14,186,39,258,76
Browns,20.8,332,309,507,60.9,3531,7,11.4,26,19,195,29,178,83
Rams,20.5,328,328,570,57.5,3578,6.3,10.9,21,14,191,43,290,78
Bears,17.9,286,363,582,62.4,3588,6.2,9.9,14,21,183,33,232,73
Ravens,16.9,270,349,596,58.6,3599,6,10.3,22,19,187,27,190,75
Falcons,18,288,364,560,65,3625,6.5,10,23,22,183,31,221,81
Cardinals,27.1,434,324,533,60.8,3654,6.9,11.3,22,17,178,33,227,82
49ers,21.6,346,358,550,65.1,3696,6.7,10.3,25,15,188,36,244,88
Broncos,29.4,471,297,502,59.2,3780,7.5,12.7,26,10,184,23,156,92
Cowboys,27.2,436,348,540,64.4,3891,7.2,11.2,33,20,200,36,260,91
Seahawks,25.4,407,339,585,57.9,3994,6.8,11.8,31,12,206,37,246,88
Jaguars,26.2,419,329,506,65,4004,7.9,12.2,28,13,197,26,189,97
Titans,21.2,339,410,625,65.6,4032,6.5,9.8,23,17,214,40,272,85
Patriots,19.6,313,388,611,63.5,4136,6.8,10.7,25,25,226,35,212,80
Redskins,23.6,377,367,578,63.5,4187,7.2,11.4,23,14,207,29,176,88
Texans,26.7,427,354,547,64.7,4280,7.8,12.1,33,13,211,30,219,99
